코드	질문	label
256A	정부에서 검사결과를 조작 할 수 있나요?	315
232A	코로나가 지나가도 폐에 문제는 남아 있나요?	265
33A	교내에서 밥 먹어야 할 때 어덯게 하면 됩니까?	380
238A	격리 입원 시 비용을 지원 받으려면 어떤 서류들이 필요한가요?	277
94E	마스크 알코올 소독	518
156B	입국 코로나 자가격리 기간	125
86A	각자 지켜야 할 방역 보조 수칙은 어떤게 있어요?	502
1A	가래의 유무에 따라 상기도 검체만 채취하기도 하나요?	206
103B	어떤 것들로 개인 방역이 구성되어 있어요?	6
268B	코로나와 메르스의 유래가 같은지 알려주세요	341
25A	원격 수업 시 학생이 과제물을 직접 수행했는지 확인이 어려울 경우 학생부 기재는 어떻게 하나?	327
273D	코로나 해외 감염자 통계	359
211A	아이폰으로 접촉자 추적에 참여 시 개인정보 보안 위험이 존재하나요?	231
11C	RT-PCR 유전자 검사를 해야하는 이유가 궁금합니다.	35
125B	COVID-19 감염된 어린이들 사이에서 가장 많이 보고 된 기저질환은?	45
183A	공동격리 설명 좀 해주세요	172
242A	산재 진료비 지원과 코로나 격리치료비는 어떤 관계가 있나요?	282
259C	코로나 생존과 습도가 관계가 있나요?	323
150C	한국인이 후베이성에 방문했으면 어떻게 한국에 들어오나요?	107
74B	말도 코로나 바이러스에 걸릴 수 있나요?	482
19C	Germany 대면 학습	205
7A	어떤 경우 corona 검사 대상이에요?	490
211B	접촉자 추적을 하는경우 나의 어떤 정보들이 공개되나요?	232
215A	어떤 경우가 COVID-19 감염자와 밀접 접촉한 것입니까?	238
33B	급식 일회용품 사용 	381
119A	코로나 루머 들었는데 어떻게 대처하는게 좋을까요?	32
48A	청소랑 소독이랑 같은거 아님?	412
172A	입국하는데 중국 발이 아닙니다 검역 프로세스는 어떻게 되나요?	153
68A	개공원	466
129A	아이가 코로나로 인한 변화에 적응 못하는데 어떡하죠?	53
230B	코로나 폐 염증 비율	262
182B	코호트 격리 해제 기준 예외	171
1B	상기도 검체 필수?	207
62B	왜 마스크를 써야되는거임?	456
276A	유럽제외 한국 검역 절차	363
44B	코로나 전파의 가장 흔한 경로는 어떤거야?	404
273B	외국의 코로나 사망자는 몇?	357
151B	중국은 여행경보 단계가 얼마나 높아?	110
188A	생활치료센터는 어떻게 들어가죠?	179
250F	격리치료비에 식대료도 같이 포함되어있나요?	304
158B	소독제도 승인을 받나요?	129
203A	코로나 사망자 추모식에 가면 코로나에 감염될 수 있나요?	213
113C	열이 있는 경우 얼마나 집에서 휴식해야해?	23
1B	필수 검체 	207
176C	임산부들은 면역이 약해진다는데 코로나에 걸릴 확률이 높아진다 볼 수 있나요?	159
258A	코로나 전파가 어떻게 되나요?	319
38A	휴교를 결정 할 때 어떤 것들을 고민해야합니까?	387
194D	주변환경 자가격리	194
57B	인플루엔자 백신이 코로나에도 효과적?	439
218B	접촉자 추적이 왜 필요한가요?	242
75A	애완 동물도 코로나 검사가 권장 되나?	483
147D	몇도 부터 코로나로 의심 받나요?	96
191A	외국인이 자가격리 중이어도 출국 할 수 있나요?	185
30A	학교가 있는 지역에 확진자 수가 엄청날 경우 학교의 대처 법	375
154B	비행기 확진자 자리 소독 방법을 알려주세요	118
125B	어떤 기저 질환이 코로나 걸린 아이들에게서 가장 흔하게 나타났나요?	45
107B	손 소독제는 어덯게 써야 올바른 방법이야?	12
26A	원격 수업일 때 출석은 어떻게 기록하는거야?	346
12B	코로나 검사 결과 잘못나오기도 하지?	56
39A	학생들이 다시 등교를 하기 위해서는 어떤 것들이 고려되어야 하나?	390
70A	지금 시국에 동물 보호소에서 동물 입양해오면 위험한가요?	472
164A	콘택트렌즈 착용자는 코로나 예방을 위해 어떤 것들을 할 수 있나요?	139
134A	학교 급식이 이 시국에도 지급되나요?	64
168A	렌즈 vs. 안경	145
149D	의심승객 격리 시설	103
148A	노상까려는데 코로나 기간중에 위험한가요?	97
99A	2.5단계 거리두기 지침	523
215A	밀접 접촉자란?	238
50B	실외에 소독제를 뿌리는 것이 코로나 예방에 도움이 되나요?	425
171A	나라들의 코로나 정보 교류 방법	152
127A	소아 다기관염증증후군(MIS-C)에 대해 설명해주세요 	48
66B	애완동물이 코로나 확진자와 같이 있었는데 괜찮을까?	463
121A	환기로 인해 공기 중으로 코로나 퍼질 수 도 있어요?	38
177A	임산부들도 코로나 검사를 꼭 해야하나요?	160
92A	마스크 재사용 가능한 상황	512
40B	차아염소산나트륨으로 소독 	394
118B	유증상자랑 같이 살 때 마스크 착용 해야할까?	30
83A	발열 증상 보일 때 격리해야되나?	496
141C	사람이 비행 중 사망 했는데 어떻게 되죠?	81
44A	등기 우편 코로나 	403
42A	코로나랑 독감 공통점	397
205A	코로나 유가족들의 유품 처리 방법을 알려주세요	216
134A	학교 학생들에게 급식이 지급되는지 궁금합니다.	64
9B	잠복기 환자 열 스캐너로 찾기 	530
245A	자가격리할때 코로나가 아닌 다른 질병으로 치료를 하게 되어도 격리치료비가 나오나요?	286
43C	염소계 물질 소독제	400
264A	코로나가 음식을 통해 전파가 가능한지 궁금합니다.	333
183A	공동격리란?	172
179A	코로나 환자인데 수유가 가능할까요?	162
5C	조사 대상 유증상자라고 알린 경우 일반 진찰 비용은 제가 부담하는건가요?	450
113B	고열이 계속되면 어디에 전화해야되나요?	22
224B	무증상자는 어떻게 코로나를 전염 시키나요?	253
83B	같이 사는 사람이 코로나 같은데 식사 따로해야해?	497
142C	항공기 내 공기는 어떻게 순환되나요?	84
81A	코로나 확진자는 애완동물 접촉을 피해야 할까?	494
85A	감기랑 코로나 구분하기	501
150B	후베이성에 갔던 외국인은 한국에 들어올 수 있나요?	106
38B	휴교 기간 학생들 복지 서비스 	388
279A	죽어라	366
13B	검사비 자비로 내면 선별 검사랑 확진 검사 동시에 가능해?	77
58D	유리에 묻은 코로나 바이러스 생존 기간이 궁금해 	443
179B	코로나 모유 수유 요령	163
155A	판데믹 기간 중 해외 여행을 피하는게 좋나요?	121
256C	채취자와 의사의 일하는 곳이 다른가요?	317
182A	언제 공동격리는 해제되나요?	170
121A	환기 통한 코로나 바이러스 공기 감염이 가능해?	38
6A	코로나 검체 채취 할 때 표준 주의란 어떤 의미인가요?	471
152A	이시국 크루즈 여행	112
56B	코로나19의 사망률은 인플루엔자와 비교했을 때 어떤가요?	437
161A	코로나 중에 마스크가 꼭 필요한 이유에 대해 설명해주세요	133
272B	코로나 국내 사망자 통계	353
198A	접촉자 격리해제 전 검사 시행 후, 미결정일 경우는 어떻게 해야 하나요?	201
111A	코로나 시국에 친구들이랑 놀아도 됨?	19
228B	마른 기침이 있는지 없는지로 코로나 여부를 확인 가능한가요?	258
89A	공기 청정기 있는데 환기 해야해?	505
93A	마스크 착용해도 거리두기를 해야하나요?	513
26A	원격 수업 시 출결 기록 원칙 	346
249C	코로나로 만성질환 악화 시 격리입원치료비 지원을 해주나요?	294
201A	코로나에서 회복 후에 또 접촉하면 접촉자가 되나요?	210
108B	코로나 예방 손 씻기 방법알려줘	14
204A	코로나 시신을 만지면 안되는건가요?	214
118C	한집에 사는 사람이 열이 있는데 어떻게 생활하면 될까요?	31
136D	호흡기가 문제가 있어도 마스크 착용은 필수 인가요?	69
184A	사회이익 격리면제자 중도 출국	174
202B	확진자 이동동선이 공개되기위한 경보 단계를 알려주세요	212
125A	기존에 병을 앓던 아이가 코로나 걸리면 중증 환자 될 확률이 높나요?	44
73D	FWS가 수입 규제하는 동물 제품에 대해 알려줘	479
97A	밖에서는 코로나 덜 위험해?	521
110A	엘베 버튼에 항균 필름	18
211C	코로나 노출 알림 도구	233
128A	병원가야만 하면 어떻게 해요?	51
127B	소아 다기관염증증후군 증세 보이면 어떡해?	49
100A	2단계 	2
137B	우리가 있는곳에 코로나가 발병했는데 아이들에겐 어떻게 말하죠?	71
50A	코로나 예방 위해 놀이터도 소독해야해?	424
271A	코로나의 바이러스는 어떤건가요?	351
122B	어떻게 기침해야 올바른가요?	41
80A	타지역에서 들여온 동물에 대해 어떻게 코로나 예방해야해?	493
229A	코로나에 걸리면 폐가 염증과 함께 딱딱해지나요?	259
132B	코로나 기간중에 딸이 다른 병으로 병원에 가도 돼요?	60
149A	의심 승객 기준이 어떻게 되나요?	100
68A	코로나가 유행하고 있는데 개랑 개 공원가도 될까?	466
224A	증상이 없어도 코로나는 퍼지나요?	252
89A	공기 청정기가 환기 대체해주나?	505
272B	국내에서 코로나로 죽은 사람은 몇 명이나 되나요?	353
173A	미국에서 코로나 해외입국자 입국제한 조치  중인가요?	154
181A	격리면제서 발급이 안된경우 사후에 격리면제서를 받아도 문제 없나요?	167
48A	청소는 뭐에요?	412
49B	피부 소독 위해 자외선 쏴도 됩니까?	417
264B	코로나 바이러스가 물체 표면에 살 수 있나요?	334
42A	코로나랑 독감이랑 어떤게 비슷해?	397
269B	누가 코로나 이름을 만든거야?	345
273B	외국 코로나 사망자 숫자는?	357
137B	우리가 사는곳에 코로나가 발병했는데 아이들에겐 어떻게 말하죠?	71
241A	격리치료비 지원범위는 어떻게 되죠?	281
4B	상기도 검체 설명해주세요	421
119A	코로나 관련된 소문을 들었을 땐 어떻게 대처해야 해?	32
55A	독감과 코로나 같이 걸릴 수 있나?	435
174A	어떤 검역 절차를 중국에서 들어오는 사람들은 따라야 하나요?	155
251A	정부에서 코로나 치료 금액을 지원해주나요?	305
268D	코로나 기원 동물	343
127A	괴질	48
88A	공중 화장실에 있는 비누 써도 되나요?	504
274A	코로나 확진자는 어떤건가요?	360
47A	청소하면 corona를 막을 수 있을까요?	409
108B	손 완벽하게 씻으려면?	14
8B	혼자 가래 채취해야 할 떄 장소 	509
189A	생활치료센터 객실이 없으면 어떻게 되나요?	181
212B	마스크가 감염을 막는데 효과적인가요?	235
229A	코로나 페섬유화	259
73B	외국에서 들어오는 어떤 제품들을 CDC가 규제하나요?	477
58E	나무에 묻은 코로나 바이러스는 얼마나 살까요?	444
94C	마스크를 전자레인지로 소독하는게 가능함?	516
94A	마스크 소독 후 재사용	514
212A	마스크 쓰면 밀접 접촉자가 안되는거 아닌가요?	234
276A	유럽 외 국가에서 검역 절차는 어떤식으로 이루어 지고 있는지 궁금하네요	363
155B	COVID-19 유행 중 해외여행은 어떤 위험이 있을까요?	122
269B	누가 코로나라는 이름을 만들었나요?	345
136D	숨쉬는게 힘든 사람도 마스크 착용은 꼭 해야하나요?	69
77A	야생동물한테 코로나 옮을 수 있나?	485
51C	코로나 예방에 살균터널이 효과적인가요?	428
161C	증상도 없는데 굳이 마스크 착용 안해도 되겠죠?	135
156B	입국 후 얼마나 기다려야 한국으로 들어갈 수 있나요?	125
251B	국가 기관 중 코로나 비용을 지원하는 곳은 어디인가요?	306
136A	아이들 마스크 착용	66
158B	어느 소독제 승인 기관이 믿을만 한가요?	129
112A	코로나 기간에 엘리베이터 안에서 어떻게 해야해?	20
39A	학생들의 등교 재개를 위해 어떤 것을 고민하면 될까?	390
24D	원격 토론 수업 출결 확인	298
269A	코로나 이름은 어떻게 만들었나요?	344
129A	지금 시국에 아이가 새 일상에 적응 못하는데 어쩌죠?	53
20A	비상 운영 계획엔 무엇을 포함해야 하는지 알려주시면 감사하겠습니다.	226
207A	코로나 감염자 동선 파악중 접족차는 어떻게 되나요?	218
127B	어린이 괴질 증세가 아이에게 보일 때 뭐 해야 되나요?	49
158B	소독제 승인 기관	129
119A	코로나19 찌라시 믿어도 되나?	32
213A	개인보호구만 하고 있으면 의사는 접촉자로 분류가 안되나요?	236
247C	렘데시비르 코로나 효능	290
222A	접촉한거 같으면 어디에 연락할까요?	249
216A	접촉자의 범위는 어떻게 설정하는건가요?	239
104A	코로나 기간에 생활 속 거리두기란?	8
48D	청소 후 표면에 남아있는 병원체를 소독하면 효과적인가요?	415
274A	코로나 확진자가 누구 인가요?	360
48B	청소 효과 알려줘	413
35A	코로나 교육에 있어서 선생님들의 역할 	384
203A	코로나로 죽은 사람의 추모식에 가면 감염될 가능성이 높나요?	213
64B	사냥꾼들이 따라야하는 식품 안전 권장사항은 어떤게 있어?	459
257A	코로나 블루란?	318
142B	헤파 필터에 대해 알려주십시요	83
272C	한국의 코로나 완치자는 몇?	354
256A	진단검사량이나 검사결과는 인위적인 조작이 가능한가요? 	315
61A	바이러스에 안걸리려고 마스크를 착용하고 다니는데 잘 하고 있는 거겟죠?	454
93A	마스크를 쓰고 있어도 거리 두기가 중요한가요?	513
269B	코로나라는 이름을 지은 기관을 알려줘	345
96A	corona 시국에 띄어 앉기 불가면 어쩌지?	520
58F	코로나 바이러스가 플라스틱에 묻었을 때 얼마나 생존?	445
280A	씨에씨에	369
58E	나무에 붙은 코로나 바이러스 생존 기간 알려줘	444
142C	항공기 코로나 순환	84
195C	자가격리 중 밖에 나가면 징역이 있나요?	197
129A	코로나가 만든 일상 변화에 아이가 적응을 못하는데 어떡해?	53
240A	격리치료비 지원기간은 어떻게 되나요?	280
249A	코로나 때문에 기저질환이 악화 되었는데 격리입원치료비를 받을 수 있나요?	292
30A	동네 감염 정도가 엄청날 때 학교는 어떤 조치를 취해야해요?	375
19A	다른 나라의 대면 학습 	203
105A	코로나 기간의 생활 속 거리두기 원리	9
147B	여객기 탑승 체온 기준이 있나요?	94
224A	코로나로 아프지 않은데도 전파가 가능한가요?	252
237A	격리입원비용 신청시에 법정 감염병 신고서로 진단서를 대체 가능한가요?	276
43E	건강에 안좋은 소독제	402
182B	코호트 격리해제 기준에 부합하지 않아도 해제가 가능한가요?	171
47B	물건의 표면 위에서 바이러스는 얼마나 살까?	410
112A	코로나 시국에 엘리베이터와 같은 밀폐 된 공간에서는 어떻게 해야해?	20
70A	코로나-19기간에 애완 동물 입양해 와도 괜찮겠죠?	472
147C	한국으로 오는 중국 여행객들도 체온검사를 받아요?	95
139B	코로나 블루의 해소법	74
139B	코로나 블루 대처법 좀 알려주셈	74
209A	접촉자가 되면 어떻게 해야하나요?	225
160A	코로나를 예방 할 수 있는 방법으론 무엇이 있나요?	132
10B	확진 검사 시 급여 청구 방법 	17
268D	코로나가 처음으로 보인 동물을 알려주세요	343
228A	코로나는 콧물만으로 진단이 가능한가요?	257
46A	일상 청소나 소독은 어떻게 해야 하나요?	408
51A	문 앞에 살균 터널 효과 	426
33C	학교에서 밥 먹는데 비접촉 결제가 안되는데 어쩌죠?	382
257A	코로나 블루 정의	318
183B	코호트로 설정되는 기준이 어떻게 되나요?	173
265A	지역사회 감염을 알려주세요	335
169B	B형 폐렴 백신 코로나 치료제	147
38C	학교가 문을 닫아도 학생들에게 식사를 줄 수 있나?	389
10B	응급으로 코로나 선별 검사를 했는데 결과가 양성이라 확진 검사도 시행하는 경우 급여 청구 방법은?	17
256B	국가가 의사 결정권에 들어 갈 수 있나요?	316
259C	코로나 바이러스가 좋아하는 습도는 어떻게되나요?	323
147C	다른 나라 사람들도 Korea에 오면 온도 측정이 실시 되나요?	95
248A	격리입원치료비는 어떤 사람들이 지원받을 수 있나요?	291
49A	LED 청색광을 이용한 소독해도 코로나 확산 방지 되죠?	416
21A	휴원 해야 하는 상황 	245
125A	아프던 아이가 코로나 걸리면 중증 환자 될 위험 높지?	44
274A	코로나 확진환자가 누구죠?	360
84B	소독 효과 보려면 어떡 약품을 써야 됨?	500
110A	엘리베이터 버튼에 항균 필름 붙이면 효과 있어요?	18
171A	세계에 코로나 정보는 어떻게 공유 되고 있나요?	152
94E	알코올을 마스크 소독에 이용해도 되나?	518
99D	애견카페는 2.5단계면 문 닫아야해?	526
212A	마스크 착용 여부가 밀접 접촉자가 되는지를 결정하나요?	234
143A	다른 국가에선 출국 시 절차가 어떤게 이루어지나요?	85
59B	혈액 기증자의 안전을 위해 어떤 것들을 지켜야 한다고 말합니까?	447
272C	한국 코로나 완치자 수	354
69A	코로나 강아지 산책 시켜도 될까요?	470
210C	코로나 간병인은 어떻게 하는게 좋은가요?	229
232B	코로나는 후유증을 남기나요?	266
83C	같이 사는 사람이 코로나 증상을 보이는데 같은 화장실 쓰면 안되겠지?	498
70A	동물 보호소에서 애완 동물 데리고 오면 위험할까?	472
182A	공동격리 해제 기준에 대해 알려주세요	170
5E	선별 검사비 	452
232A	코로나 폐 기능 후유증	265
49C	자외선 소독이 코로나 전파 방지에 도움 됨?	418
19C	독인은 대면 학습을 위해 어떤 준비를 했나요?	205
224B	무증상자는 어떻게 전염을 시키나요?	253
218C	접촉자 추적이 전파 속도를 늦출 수 있나요?	243
266C	코로나 바이러스는 혈액로 전파 될 수 있나요?	338
54A	코로나-19에 감염된 아이들은 어른들과 증상이 달라요?	433
83B	코로나 유증상자랑 살 때 식사는 어떻게 해야해?	497
7C	어떠한 경우 조사대상 유증상자로 분류되나요?	492
62B	마스크 써야하는 이유	456
218B	밀접 접촉자 추적은 왜 하는건가요?	242
49B	손에 자외선을 쏘아서 소독해도 될까?	417
183A	코호트 격리가 뭐니?	172
21B	휴교를 결정하는 건 누구인가요?	246
4A	코로나 검사 방법	420
250C	격리치료비에 제증명료도 같이 포함되어있나요?	301
12A	코로나 검사 결과가 음성인데 다시 양성이 나올 수도 있을까요?	55
58A	배출된 코로나 바이러스는 얼마나 살아있지?	440
26C	원격으로 수업할 때 담임 선생님은 어떻게 출석 기록하나요?	348
58B	마스크 코로나 바이러스 	441
47B	물품에 코로나 바이러스가 묻었을 때 얼마나 생존하나요?	410
279A	아는게 뭐니?	366
9A	열 스캐너 코로나 환자 감지	529
272A	국내 코로나 환자 수는 총 얼마나 되나요?	352
33B	교내에서 밥 먹을 때 일회용 그릇이 사용 불가면?	381
128A	자녀가 병원 가야 되는데 어쩌죠?	51
196B	해외에서 온 사람도 자가격리 지원 목록	199
91A	마스크만으로 코로나 막는게 가능?	511
261A	코로나 잠복기	329
38B	학교 안갈 때 의료 	388
60A	안면 마스크만 잘 착용한다면 다른 예방법 없이도 코로나 감염 안될 수 있어요?	453
7C	조사 대상 유증상자라는건 무슨 뜻인가요?	492
215A	밀접 접촉 설명	238
248A	격리 중에 입원치료 지원을 받을 수 있는 사람은 누구인가요?	291
139A	스트레스가 늘었는데 어떻게 대처함?	73
180A	COVID-19가 태아에게도 갈 수 있나요?	165
211C	코로나 접촉을 알려주는 어플리케이션이 있나요?	233
11A	corona 항체 검사 뜻은?	33
74B	말도 코로나 바이러스 감염 될까?	482
27B	온라인 수업이면 수행평가는 어떤식으로 하죠?	368
98A	1단계 거리두기 지침은 어떤게 있음?	522
59A	이시국에 헌혈해도 괜찮을까요?	446
68D	반려견에게 나타나는 감염 징후는 어떤게 있죠?	469
132D	코로나 기간에 아이의 만성질환이 악화되면 어떻게 하는게 좋을까요?	62
43E	안좋은 소독제 	402
210D	코로나 응급 경고 징후	230
14A	corona 검사 과거 병력	104
153B	Airport에서 코로나에 감염될 수 도 있나요?	115
177A	임산부도 코로나 검사를 하는게 좋겠죠?	160
20A	비상 운영 계획에는 어떤 내용이 있는지 알려줘 	226
49A	corona 전파 방지 위한 LED 청색광을 이용한 소독	416
41A	제가 세정제 만들어도 되나요?	395
41A	손 소독제 직접 만들어도 됨?	395
259A	코로나 바이러스는 높은 기온에서 더 퍼지기 어렵나요?	321
210A	가족중 한명이 아프면 어떻게 하는게 좋을까요?	227
250B	어떤경우에 격리입원치료비가 지급되기 힘든가요?	300
249C	당뇨가 코로나로 악화 되었는데 치료비용이 지원되나요?	294
251B	정부 어느 기관에서 코로나 치료비를 지원해주나요?	306
278A	내 이름은 야	365
143C	타국에서 출국 할때 건강에 대한 칠문을 받을 수 있나요?	87
250D	코로나 격리입원치료비 중 검사 금액이 포함되는지 궁금해요	302
194D	자가격리 주변 관리	194
1A	가래 없을 떄 채취 유도 	206
250D	검사료도 코로나 격리치료비에 포함되는지 궁금합니다.	302
73A	COVID-19 기간에 수입 생물 제품 취급 방법	476
233A	코로나 취약 계층을 알려주세요	267
212A	마스크 착용 중이었는데도 밀접 접촉자가 되나요?	234
255A	사회적 거리두기 3단계가 지금 추진 중인지 궁금합니다.	313
189A	생활치료센터 입소 부족	181
4B	상기도 검체란 무엇인가요?	421
66C	동물 코로나 감염 방법	464
66A	강아지 코로나 감염 의심	462
259B	코로나가 좋아하는 온도는 어떻게되나요?	322
210B	가벼운 증상일 경우 집에서 코로나를 치료 할 수 있을까요?	228
104A	생활 속 거리두기	8
114A	30초 이상 손 씻어야 하는 이유	24
257A	코로나 블루가 뭔지 알려주세요	318
148A	야영하면 코로나에 더 잘 걸리나요?	97
273D	외국에 코로나 감염된 사람은 총 얼마나 되나요?	359
191A	한국사람이 아니라 자가격리 중이에요 출국 가능한가요?	185
235A	가래 코로나	273
209A	접촉자 대처 방법	225
177A	임산부인데 코로나 검사 받아야하나요?	160
168A	렌즈 사용자가 안경 쓰는 사람 보다 코로나에 걸릴 가능서이 더 높나요?	145
115A	사회적 거리두기 지침 카페 	25
195A	자가격리 중 외출한 사람들에 대한 법적 처벌기준이 있나요?	195
208B	개인정보를 코로나 담당자가 요구할 수 있나요?	223
10A	코로나 확진 검사 가격 	16
91A	마스크 착용으로 코로나 완벽하게 막을 수 있어?	511
31A	코로나 확신 방지 위해 학생이 할 수 있는 일	377
253A	추후에 청구를 어떻게 하나요? 본인 부담금은 이미 냈는데	310
236B	코로나에 걸리는 이유중에 담배가 있나요?	275
150A	최근에 중국 여행을 했었는데 주의사항에 대해 알려주세요	105
76A	고양이가 코로나 때매 위험하지 않겠죠?	484
134A	지금 학교 급식 해요?	64
58B	마스크에 묻은 코로나 바이러스의 생존 기간 알려줘 	441
110A	항균 필름 있으면 안전해?	18
43A	소독제 뿜어서 소독하면 더 잘됨?	398
52A	확진자 나온 시설 소독 	429
73B	CDC가 규제하는 동물 제품 알려줘	477
257A	코로나 블루가 어떤걸 말하는지 알려주세요	318
7A	corona 검사 대상자에 대해 알려주세요 	490
125C	기존에 병이 있는 아이의 경우 코로나 위험도 더 높아?	46
136B	아기도 마스크 쓰나요?	67
79B	코로나 기간에 강아지 미용 맡겨야 할 때 어떤 규정 지켜야 할까?	489
48A	소독하고 청소가 뭐가 다른지 궁금해요	412
221A	안아픈 접촉자는 밖에 나가도 되나요?	248
64A	코로나 기간에 사냥꾼이 잡은 고기 먹어서 코로나 걸리기도 함?	458
63A	이 시국에 개와 함께 미국에 여행가도 괜찮을까?	457
173A	현재 코로나로 입국이 금지된 나라들이 있나요?	154
70A	동물 보호소에서 애완 동물을 입양해도 괜찮을까요?	472
155A	지금 해외 여행 가능?	121
56A	코로나랑 독감은 어떤점이 다르죠?	436
218A	접촉자 추적을 알려주세요	241
222B	집에 있는데 증상이 있으면 어디에 연락하는게 좋을까요?	250
57B	코로나 안걸리려면 독감 백신 맞음 됨?	439
151A	중국에서 코로나19가 유행하고 있는데 중국 여행을 가도 되나요?	109
210C	코로나 간병인 주의해야 할 사항을 알려주세요	229
146A	미국 입국할때 어떤일이 있나요?	91
250E	약제료가 코로나 격리입원치료비에 포함되나요?	303
211A	스마트폰으로 접촉자 추적에 참여하면 내 정보 유출이 가능한가요?	231
22A	휴교 여부 	260
11B	SARS-CoV-2 항체 형성을 위해선 일반적으로 얼마정도 걸리죠?	34
45A	이와중에 질환 치료 	406
139A	코로나 기간 중 가족들 스트레스를 어떻게 해소해야 할까요?	73
7C	조사 대상 유증상자란?	492
118A	동거인이 코막힘 증세가 있는데 저는 어떻게 생활하면 될까요?	29
14A	코로나 검사시 과거 병력 왜 알아야해?	104
213A	의사가 개인보호구를 했으면 밀접 접촉자가 되는걸 피할 수 있나요?	236
68C	강아지 닦는데 과산화 수소를 이용해도 되나요?	468
209A	감염자 근처에 있었다는데 어떻게 행동할까요?	225
130A	코로나 기간에 아이가 친구들 만나도 안전할까?	57
149A	인천공항 코로나 검사	100
122B	바른 기침 방법	41
122A	소매랑 휴지랑 어떤거로 입 가리고 기침하는게 더 나아요?	40
190A	공동격리 영역에 들어가는 상황을 알려주세요	183
268B	코로나와 메르스의 유래 차이를 알려주세요	341
73E	반려견 수입	480
122B	어떻게 기침해야 안전한 방법인가요?	41
38A	코로나로 휴교를 해야 한다면 무엇을 고민해야 할까요?	387
40A	공간 소독 후 바로 이용하면 위험한가요?	393
118C	동거인이 열이 있는데 저는 어떻게 생활해야해요?	31
48C	코로나 바이러스에 소독이 효과적인가요?	414
257A	코로나 블루란 무엇인지 설명해주십시요	318
217A	코로나 접촉자 추적을 할 때에 개인정보는 어떤식으로 관리 되는지?	240
249A	기저질환이 코로나로 심해지면 격리입원치료비를 받을 수 있나요?	292
33C	학교에서 식사시 결제를 비접촉으로 할 수 없으면?	382
11D	우리나라에서 corona 진단에 항체 검사가 쓰입니까?	36
83C	코로나 증상이 있는 사람이랑 살 때 화장실 어떻게 하나요?	498
94C	마스크를 전자레인지로 소독해도 괜찮아?	516
180A	뱃속에 아기가 코로나에 걸릴 수 있는지 궁금해요	165
106A	손 소독제 건강에 영향줘?	10
211A	전자기기로 접촉자 추적에 참여하면 개인정보 유출 위험이 있나요?	231
266B	확진자의 눈물이 코로나 바이러스 전파를 시킬 수 있는지 궁금해요	337
76A	코로나 때문에 고양이가 걱정인데 괜찮겠죠?	484
4A	corona 검사 방식 알려줘	420
141B	항공사에서 코로나 때문에 연락처를 물을 수도 있나요?	80
194D	자가격리 근처 환경 조성 요령에 대해 알려주세요	194
51C	코로나 방지하는데 살균터널이 도움이 되나요?	428
230B	코로나가 폐렴을 일으키는 비율이 얼마나 높나요?	262
26B	교과 선생님은 온라인 수업 일 때 출결 처리 어떻게 하는 지 궁금합니다. 	347
151C	중국에서 조심해야 할것들	111
147C	외국인들이 한국 들어오면 온도 젭니까?	95
228B	마른 기침이 있으면 코로나가 아닌가요?	258
62A	마스크는 어떤 역할함?	455
44C	코로나는 어떤 식으로 걸리나요?	405
8A	스스로 가래를 채취할때도 꼭 음압실에서 해야하나요?	508
149B	몇도 이상의 체온에서 의심승객이 되나요?	101
81A	corona 걸렸을 때 반려견 만지면 안될까요?	494
49D	바이러스 확산 방지 위해 초음파 소독 해도 효과 있어요?	419
99E	2.5단계는 수도권만 해당인거에요?	527
164B	코로나 제거용 렌즈 관리법	140
259D	코로나 온도	324
97A	간격이 유지되는 야외는 코로나 안 위험해?	521
149A	한국 도착하면 코로나 의심승객은 어떻게 선별하나요?	100
154C	기내 소독에는 어떤 약품이 사용되나요?	119
56A	인플루엔자랑 코로나랑 뭐가 달라?	436
11A	corona 항체 검사란?	33
152A	선박 여행을 가려는데 코로나 기간 중에 괜찮을까요?	112
52B	코로나 확진자 동선 모를 때 어떻게 소독해?	430
257A	코로나 블루란 무엇인가요?	318
59B	안전한 헌혈을 위한 주의 사항	447
212A	마스크 썻으면 접촉자가 되는걸 피할 수 있나요?	234
149D	인천공항 도착 후 코로나 19 의심승객 격리 장소는 어떻게 되나요?	103
90A	소매에 기침한 경우 소매 소독	510
214A	밀접 접촉자랑 만난 경우 조치 요령	237
11A	코로나 항체 검사에 대한 설명이 필요해요 	33
51A	건물 앞 살균 터널 사용 	426
88A	공중 화장실에 있는 비누 써도 안전할까?	504
260A	벌레가 코로나를 전염 시킬 수 있나요?	328
198A	접촉자로 격리해제 전에 검사 시행 했는데 미결정이 나오면 어떻게 되나요?	201
143B	외국 공항 체온 측정	86
13B	검사비를 지불 하면 선별 검사와 확진 검사를 같이 시행 할 수 있음?	77
82A	요양원 반려동물	495
87A	사람들이 지켜야 하는 방역 5대 핵심수칙은 어떤게 있죠?	503
256A	언론에 공개되는 진단 검사량이 조작 될 수 있는지 궁금합니다.	315
44C	보통 코로나는 어떤식으로 걸리나요?	405
273D	해외에서 코로나에 감염된 사람은 몇 명이나 되나요?	359
278A	Hello	365
27A	원격 수업시 시험 방법	367
94E	알코올로 마스크 소독해서 써도 되나?	518
148C	나이가 많은데 이 시국에 피크닉 가능한가요?	99
41A	손 세정제 만들어 써도 되는지 알려주세요 	395
200A	확진자 격리 해제 언제 출근	209
